id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_il_6m,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m
67675948,72529679,7700.0,7700.0,7700.0, 36 months,10.64,250.78,B,B4,Account Manager ,< 1 year,RENT,65000.0,Source Verified,Dec-2015,Issued,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=67675948,,debt_consolidation,Debt consolidation,111xx,NY,5.74,0.0,Aug-2008,0.0,,,14.0,0.0,10750.0,73.1,25.0,w,7700.0,7700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,Feb-2016,0.0,,1.0,INDIVIDUAL,,,0.0,0.0,50456.0,0.0,9.0,0.0,0.0,52.0,39706.0,116.1,1.0,3.0,4773.0,103.2,14700.0,0.0,1.0,-4.0
60536844,64557626,15200.0,15200.0,14800.0, 60 months,15.61,366.5,D,D1,Technical Manager,2 years,MORTGAGE,125000.0,Verified,Sep-2015,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=60536844,,debt_consolidation,Debt consolidation,488xx,MI,34.7,0.0,Sep-1991,2.0,,,48.0,0.0,19845.0,46.2,90.0,f,14511.62,14129.73,1439.64,1401.75,688.38,751.26,0.0,0.0,0.0,Jan-2016,366.5,Feb-2016,0.0,,1.0,INDIVIDUAL,,,0.0,0.0,737350.0,,,,,,,,,,,,43000.0,,,
55933977,59595848,28000.0,28000.0,28000.0, 60 months,9.17,583.55,B,B2,Manager,10+ years,OWN,142000.0,Not Verified,Jul-2015,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=55933977,,debt_consolidation,Debt consolidation,233xx,VA,17.81,0.0,Oct-1991,0.0,45.0,,21.0,0.0,39433.0,53.2,41.0,w,26123.62,26123.62,2903.49,2903.49,1876.38,1027.11,0.0,0.0,0.0,Dec-2015,583.55,Jan-2016,0.0,,1.0,INDIVIDUAL,,,0.0,0.0,504155.0,,,,,,,,,,,,74100.0,,,
476299,603285,24250.0,24250.0,23917.518042, 36 months,13.57,823.74,C,C3,Life Technologies,8 years,OWN,200000.0,Not Verified,Jan-2010,Does not meet the credit policy. Status:Charged Off,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=476299,"  Borrower added on 01/14/10 > This will clear a 29.9% APR account that has been closed.<br/> Borrower added on 01/24/10 > I've worked in the biotech industry since 1987 and for the same company for the past 8 years.  I have had excellent payment history on all of my debts, including paying off 4 cars and a truck over the years.<br/>",debt_consolidation,Shasta,983xx,WA,14.3,0.0,May-1995,0.0,,,11.0,0.0,155946.0,90.1,33.0,f,0.0,0.0,19769.02,19320.84,15023.78,4745.24,0.0,0.0,0.0,Mar-2012,41.04,Jun-2012,0.0,,1.0,INDIVIDUAL,,,0.0,,,,,,,,,,,,,,,,,
1306520,1551960,18000.0,18000.0,18000.0, 60 months,12.12,401.5,B,B3,US Navy,3 years,MORTGAGE,74500.0,Verified,May-2012,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1306520,"  Borrower added on 05/18/12 > I recently had some flooding damage in my home and need to replace the flooring.  I have a current loan with LendingClub where I owe $9500, part of this loan will be used to pay that off, the rest for the project.  My credit score is much higher so the monthly payment will only be about $60 more.<br>",home_improvement,Home Improvement,206xx,MD,16.41,0.0,Jun-1993,0.0,,,10.0,0.0,13020.0,43.3,15.0,f,6262.69,6262.69,17230.7,17230.7,11737.31,5493.39,0.0,0.0,0.0,Jan-2016,401.5,Feb-2016,0.0,,1.0,INDIVIDUAL,,,0.0,,,,,,,,,,,,,,,,,
19186211,21388918,11975.0,11975.0,11975.0, 36 months,18.99,438.9,E,E1,Area Manager,4 years,RENT,40000.0,Source Verified,Jun-2014,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=19186211,,debt_consolidation,Debt consolidation,531xx,WI,22.2,0.0,Oct-2006,1.0,54.0,,6.0,0.0,8767.0,90.4,9.0,w,6827.91,6827.91,7956.8,7956.8,5147.09,2809.71,0.0,0.0,0.0,Dec-2015,495.5,Feb-2016,0.0,54.0,1.0,INDIVIDUAL,,,0.0,0.0,22777.0,,,,,,,,,,,,9700.0,,,
858538,1071090,8000.0,8000.0,8000.0, 36 months,15.99,281.22,D,D2,WEGMANS,5 years,MORTGAGE,65000.0,Source Verified,Aug-2011,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=858538,  Borrower added on 08/19/11 > i want to pay off my credit card <br/>i am good payyer<br/>montly butget is very good<br/>i am working in my jop 5 years<br/>,credit_card,CREDIT CARD PAY OFF,201xx,VA,9.23,0.0,Jan-2007,0.0,,,9.0,0.0,8291.0,76.8,11.0,f,0.0,0.0,9035.83,9035.83,8000.0,1035.83,0.0,0.0,0.0,Sep-2012,22.44,,0.0,,1.0,INDIVIDUAL,,,0.0,,,,,,,,,,,,,,,,,
3289377,4062124,20000.0,20000.0,20000.0, 36 months,6.62,614.08,A,A2,PrimeLending,4 years,MORTGAGE,92000.0,Not Verified,Feb-2013,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=3289377,"  Borrower added on 01/29/13 > Consolidate high interest credit cards and make additional principle payments to pay off in 24 months and become debt free.  My intent is to have all my credit cards paid in full within that time frame.  I have excellent credit, income and job stability and am in the financial industriy.<br>",debt_consolidation,Debt Consolidation,852xx,AZ,16.3,0.0,Feb-2001,0.0,,,12.0,0.0,25263.0,66.7,37.0,f,618.55,618.55,21483.2,21483.2,19381.45,2101.75,0.0,0.0,0.0,Jan-2016,614.08,Feb-2016,0.0,,1.0,INDIVIDUAL,,,0.0,0.0,518543.0,,,,,,,,,,,,37900.0,,,
20078243,22340888,1800.0,1800.0,1800.0, 36 months,18.24,65.3,D,D5,Teacher,6 years,MORTGAGE,54000.0,Verified,Jul-2014,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=20078243,,other,Other,143xx,NY,27.78,0.0,Oct-2001,5.0,54.0,,16.0,0.0,9358.0,51.7,44.0,f,0.0,0.0,2164.54,2164.54,1800.0,364.54,0.0,0.0,0.0,Oct-2015,1185.04,,0.0,54.0,1.0,INDIVIDUAL,,,0.0,0.0,234834.0,,,,,,,,,,,,18100.0,,,
33571555,36224843,3500.0,3500.0,3500.0, 36 months,8.19,109.99,A,A5,,,RENT,24500.0,Source Verified,Nov-2014,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=33571555,,debt_consolidation,Debt consolidation,284xx,NC,6.27,0.0,Mar-1992,0.0,,58.0,8.0,1.0,2886.0,47.3,31.0,w,2239.6,2239.6,1538.27,1538.27,1260.4,277.87,0.0,0.0,0.0,Dec-2015,109.99,Feb-2016,0.0,,1.0,INDIVIDUAL,,,0.0,536.0,2886.0,,,,,,,,,,,,6100.0,,,
12528235,14540362,10000.0,10000.0,10000.0, 60 months,15.61,241.12,C,C5,RN,6 years,OWN,90000.0,Source Verified,Mar-2014,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=12528235,,debt_consolidation,Debt consolidation,350xx,AL,23.29,0.0,May-1998,3.0,,,11.0,0.0,3745.0,72.0,41.0,f,7192.73,7192.73,5304.64,5304.64,2807.27,2497.37,0.0,0.0,0.0,Jan-2016,241.12,Feb-2016,0.0,,1.0,INDIVIDUAL,,,0.0,0.0,268003.0,,,,,,,,,,,,5200.0,,,
46722417,49870133,15000.0,15000.0,15000.0, 36 months,6.68,460.97,A,A3,account manager,7 years,RENT,67000.0,Not Verified,Apr-2015,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=46722417,,debt_consolidation,Debt consolidation,600xx,IL,16.1,0.0,Dec-2006,0.0,,117.0,7.0,1.0,8585.0,81.8,15.0,w,11920.75,11920.75,3682.19,3682.19,3079.25,602.94,0.0,0.0,0.0,Dec-2015,460.97,Feb-2016,0.0,,1.0,INDIVIDUAL,,,0.0,60.0,33711.0,,,,,,,,,,,,10500.0,,,
38212112,40995872,16000.0,16000.0,16000.0, 36 months,14.99,554.57,C,C5,Hr Manager,2 years,RENT,84934.0,Verified,Jan-2015,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=38212112,,credit_card,Credit card refinancing,223xx,VA,13.55,0.0,Jan-2003,2.0,,,21.0,0.0,13297.0,72.3,58.0,f,0.0,0.0,16303.81,16303.81,16000.0,303.81,0.0,0.0,0.0,Feb-2015,16317.13,,0.0,,1.0,INDIVIDUAL,,,0.0,0.0,218429.0,,,,,,,,,,,,18400.0,,,
6697445,8299699,12000.0,12000.0,12000.0, 36 months,17.76,432.39,D,D1,Accountant,7 years,RENT,115000.0,Source Verified,Oct-2013,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=6697445,,credit_card,Credit card refinancing,212xx,MD,20.24,0.0,Apr-1991,0.0,,113.0,12.0,1.0,60957.0,90.0,16.0,w,3618.31,3618.31,11674.53,11674.53,8381.69,3292.84,0.0,0.0,0.0,Jan-2016,432.39,Feb-2016,0.0,,1.0,INDIVIDUAL,,,0.0,200.0,81093.0,,,,,,,,,,,,67700.0,,,
68817,264119,10000.0,10000.0,2475.0, 36 months,11.03,327.53,C,C1,CAROLINA BROKERAGE CO,10+ years,MORTGAGE,46116.0,Not Verified,Mar-2008,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=68817,Want to buy a Harley Davidson Motorcycle,major_purchase,Elaine27376,273xx,NC,13.04,0.0,Nov-1985,1.0,45.0,,7.0,0.0,5394.0,53.4,23.0,f,0.0,0.0,11707.07,2896.14,10000.0,1707.07,0.0,0.0,0.0,Sep-2010,23.15,,0.0,,1.0,INDIVIDUAL,,,0.0,,,,,,,,,,,,,,,,,
50515285,53895003,6000.0,6000.0,6000.0, 36 months,10.99,196.41,B,B4,artist,1 year,RENT,50000.0,Not Verified,May-2015,Late (16-30 days),n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=50515285,,debt_consolidation,Debt consolidation,902xx,CA,18.55,1.0,Nov-1993,0.0,22.0,,17.0,0.0,13870.0,57.8,26.0,w,5131.57,5131.57,1171.13,1171.13,868.43,302.7,0.0,0.0,0.0,Dec-2015,196.41,Jan-2016,0.0,79.0,1.0,INDIVIDUAL,,,0.0,0.0,72924.0,,,,,,,,,,,,24000.0,,,
61882411,66075132,35000.0,35000.0,34950.0, 36 months,12.69,1174.07,C,C2,Supply Chain Manager,1 year,RENT,130000.0,Verified,Oct-2015,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=61882411,,debt_consolidation,Debt consolidation,983xx,WA,11.75,2.0,May-1992,1.0,3.0,,6.0,0.0,8685.0,33.7,15.0,f,32562.58,32516.06,3545.74,3540.67,2437.42,1108.32,0.0,0.0,0.0,Jan-2016,1174.07,Feb-2016,0.0,3.0,1.0,INDIVIDUAL,,,0.0,0.0,43406.0,,,,,,,,,,,,25800.0,,,
1460242,1715366,17000.0,17000.0,17000.0, 36 months,19.72,629.36,D,D5,Insituform Technologies Inc.,10+ years,MORTGAGE,80000.0,Not Verified,Aug-2012,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1460242,  Borrower added on 08/06/12 > i picked up my sons loans for school with a personal loan as well as some high interest cards to cover some of my daughters senior activities but now am over on monthly payments and just need a little help.<br>,debt_consolidation,Debt consolidation,760xx,TX,8.67,0.0,Feb-2006,2.0,58.0,,9.0,0.0,10053.0,86.2,18.0,f,0.0,0.0,22119.5252284,22119.53,17000.0,5119.53,0.0,0.0,0.0,Oct-2014,6396.68,,0.0,,1.0,INDIVIDUAL,,,0.0,,,,,,,,,,,,,,,,,
34904445,37587776,8400.0,8400.0,8400.0, 36 months,14.31,288.36,C,C4,Assistant Clinical Education Coordinator,3 years,MORTGAGE,49000.0,Verified,Nov-2014,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=34904445,,credit_card,Credit card refinancing,967xx,HI,25.18,0.0,Oct-2002,3.0,71.0,59.0,8.0,1.0,6674.0,47.0,24.0,f,5551.05,5551.05,4030.36,4030.36,2848.95,1181.41,0.0,0.0,0.0,Jan-2016,288.36,Feb-2016,0.0,78.0,1.0,INDIVIDUAL,,,0.0,0.0,46545.0,,,,,,,,,,,,14200.0,,,
47521166,50739878,15000.0,15000.0,15000.0, 60 months,9.17,312.62,B,B2,Manager,10+ years,MORTGAGE,51500.0,Source Verified,May-2015,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=47521166,,debt_consolidation,Debt consolidation,391xx,MS,13.73,0.0,May-2004,0.0,59.0,,13.0,0.0,2.0,0.0,21.0,w,13373.02,13373.02,2493.32,2493.32,1626.98,866.34,0.0,0.0,0.0,Jan-2016,312.62,Feb-2016,0.0,59.0,1.0,INDIVIDUAL,,,0.0,0.0,15306.0,,,,,,,,,,,,34900.0,,,
40980801,716215,16000.0,16000.0,16000.0, 60 months,9.17,333.46,B,B2,Business Banking Manager,10+ years,MORTGAGE,152000.0,Source Verified,Feb-2015,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=40980801,,debt_consolidation,Debt consolidation,981xx,WA,6.71,0.0,Jul-2000,0.0,33.0,,4.0,0.0,3020.0,33.6,17.0,w,12678.63,12678.63,4418.3,4418.3,3321.37,1096.93,0.0,0.0,0.0,Jan-2016,333.46,Feb-2016,0.0,,1.0,INDIVIDUAL,,,0.0,0.0,364670.0,,,,,,,,,,,,9000.0,,,
58562315,62403031,5600.0,5600.0,5600.0, 36 months,12.69,187.86,C,C2,Management Analyst,2 years,MORTGAGE,101921.0,Source Verified,Aug-2015,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=58562315,,credit_card,Credit card refinancing,701xx,LA,11.24,0.0,May-2002,1.0,40.0,,10.0,0.0,5114.0,27.2,17.0,w,5077.22,5077.22,747.49,747.49,522.78,224.71,0.0,0.0,0.0,Dec-2015,187.86,Feb-2016,0.0,41.0,1.0,INDIVIDUAL,,,0.0,0.0,305423.0,,,,,,,,,,,,18800.0,,,
60823114,64864936,25000.0,25000.0,25000.0, 60 months,8.18,509.07,B,B1,Police Officer,10+ years,OWN,115000.0,Not Verified,Oct-2015,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=60823114,,credit_card,Credit card refinancing,088xx,NJ,15.6,1.0,May-1997,0.0,22.0,90.0,9.0,1.0,23901.0,65.3,29.0,f,23977.1,23977.1,1504.49,1504.49,1022.9,481.59,0.0,0.0,0.0,Jan-2016,509.07,Feb-2016,0.0,,1.0,INDIVIDUAL,,,0.0,0.0,344845.0,,,,,,,,,,,,35200.0,,,
8116318,9858385,5000.0,5000.0,5000.0, 36 months,16.2,176.28,C,C4,Finance manager,10+ years,RENT,165000.0,Verified,Oct-2013,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=8116318,,debt_consolidation,Cc payoff,146xx,NY,14.01,3.0,Aug-1984,2.0,6.0,,12.0,0.0,4030.0,53.7,60.0,f,0.0,0.0,6082.06,6082.06,4999.95,1082.11,0.0,0.0,0.0,Jul-2015,2556.54,,0.0,22.0,1.0,INDIVIDUAL,,,0.0,0.0,49835.0,,,,,,,,,,,,7500.0,,,
507462,654498,12000.0,12000.0,12000.0, 36 months,16.82,426.74,E,E2,DC Comics/Warner Bros.,7 years,RENT,55555.0,Not Verified,Apr-2010,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=507462,"  Borrower added on 04/22/10 > Responsible, honest and hard-working editor and freelance writer is looking to consolidate his credit card debt and get that particular monkey off his creative back. Spending mistakes of the past have made the monetary present a little harder to shoulder, so this grateful and humble editor is seeking to start fresh and debt-free!<br/>",debt_consolidation,Talented editor needs to get out of untalented debt!,112xx,NY,12.29,0.0,Jun-2000,0.0,,,2.0,0.0,21652.0,98.4,4.0,f,0.0,0.0,15349.41,15349.41,12000.0,3349.41,0.0,0.0,0.0,May-2013,472.29,,0.0,,1.0,INDIVIDUAL,,,0.0,,,,,,,,,,,,,,,,,
